id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,87.30000000000001,83.30000000000001,91.2,
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,120.1,124.1,116.4,.3
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,85.40000000000001,85.2,85.5,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,111.2,108.2,114.2,.3
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,111.2,108.2,114.2,.3
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,109.9,107.3,112.3,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,109.9,107.3,112.3,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,104.9,104.4,105.4,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,104.9,104.4,105.4,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,82.80000000000001,78.5,87,4.3
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,82.80000000000001,78.5,87,4.3
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,87.80000000000001,84.60000000000001,90.80000000000001,
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,87.80000000000001,84.60000000000001,90.80000000000001,
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,107.3,109.5,105.2,
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,107.3,109.5,105.2,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,102.5,104.3,100.9,4.3
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,102.5,104.3,100.9,4.3
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,97.60000000000001,98.40000000000001,96.90000000000001,
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,97.60000000000001,98.40000000000001,96.90000000000001,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,57.6,62.7,53.2,4.9
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,70.60000000000001,75.90000000000001,65.8,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,152.5,159.8,146.1,
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,79.7,81.7,77.80000000000001,.4
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,118.4,122.1,115,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,214.3,225.1,204.9,
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,95.30000000000001,97.7,93,1.8
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,101.9,104.4,99.5,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,128.2,129.7,126.7,
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,75.40000000000001,76.5,74.3,.9
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,77.5,78,76.90000000000001,
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,86.10000000000001,84.2,88,
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,116.9,114.4,119.3,1.2
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,127.9,126,129.7,
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,139.9,138.7,141,
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,77.60000000000001,78.60000000000001,76.80000000000001,.7000000000000001
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,75.2,76.10000000000001,74.5,
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,60.7,61.1,60.40000000000001,
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,76.5,82,71.5,2.3
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,85.7,90.90000000000001,81.10000000000001,
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,129.3,132.7,126.3,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,186.7,194.2,180,6
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,157.7,162.6,153.3,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,,,,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,134.3,138.9,130.2,1.4
