id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_15_t,wkp_15_f,wkp_15_m,wkp_7_t,wkp_7_f,wkp_7_m,lfp_15_u_t,lfp_15_u_f,lfp_15_u_m,lfp_15_w_t,lfp_15_w_f,lfp_15_w_m,emp_7_t,emp_7_f,emp_7_m
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,57.2,56.5,58,84.30000000000001,84.10000000000001,84.5,40.1,7.100000000000001,75.3,40.1,7.100000000000001,75.3,32.7,13.1,50.40000000000001
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,58.7,57.2,60.40000000000001,81.60000000000001,81.40000000000001,81.80000000000001,48.3,9.800000000000001,86.60000000000001,47.40000000000001,9.600000000000001,85,47.7,36.3,58.5
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,59.6,58.1,61.1,82.2,81.90000000000001,82.40000000000001,46.7,8.9,82.7,46.1,9.200000000000001,81.30000000000001,46.1,33.8,57.6
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,66.10000000000001,66.7,65.7,86.10000000000001,85.90000000000001,86.2,35.9,1.8,59.8,37.5,5.800000000000001,59.8,36,17.6,52.5
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,69.40000000000001,73.10000000000001,66,82,82,82.10000000000001,34.1,1.1,68.5,34.1,1.1,68.5,46,33.3,57.90000000000001
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,68.3,71.7,65.10000000000001,82.30000000000001,82.2,82.30000000000001,34.5,1.3,68.8,34.5,1.3,68.8,44.8,31.4,57.2
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,55.3,55.1,55.5,84.60000000000001,84.5,84.80000000000001,39.8,3.3,72.60000000000001,39.8,3.3,72.60000000000001,33.8,14.5,51.2
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,59.2,60.6,57.90000000000001,81.40000000000001,81,81.7,57.90000000000001,35.5,79.30000000000001,54.90000000000001,29.4,79.30000000000001,51.8,41.90000000000001,60.8
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,59.2,60.5,58,81.60000000000001,81.2,81.90000000000001,57.40000000000001,34.1,79.7,54.5,28.2,79.7,50.7,40.1,60.3
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,59.8,59.40000000000001,60.1,83.90000000000001,83.60000000000001,84.2,48,7.2,88.2,47.3,5.800000000000001,88.2,38.7,20.7,54.8
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,56.8,53,60.5,82,82,82,50.6,17.7,79.5,49.8,16.1,79.5,40.40000000000001,23.6,56
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,58.2,54.7,61.6,82.30000000000001,82.30000000000001,82.30000000000001,50,15.8,79.40000000000001,49.3,14.4,79.40000000000001,39.40000000000001,22.3,55.3
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,71.10000000000001,72.60000000000001,70,84.7,84.7,84.80000000000001,45.6,1,79,45.6,1,79,32.3,12.5,49.90000000000001
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,62.3,61.1,63.6,81.7,81.60000000000001,81.80000000000001,36.5,.1,77.10000000000001,36.6,.1,77.10000000000001,41.90000000000001,25.8,56.8
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,62.3,61.1,63.6,81.80000000000001,81.60000000000001,81.90000000000001,36.5,.1,77.10000000000001,36.6,.1,77.10000000000001,41.2,24.8,56.5
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,,82.30000000000001,82.10000000000001,82.40000000000001,,,,,,,33.6,13,52.40000000000001
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,64.2,59.3,68.90000000000001,89.5,88.2,90.5,77.5,67,86.10000000000001,76.5,64.8,86.10000000000001,61.8,46.8,72.8
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,64.5,59.5,69.3,89.30000000000001,88.10000000000001,90.2,76,66.10000000000001,84.30000000000001,75.10000000000001,64.10000000000001,84.30000000000001,59.8,44.40000000000001,71.40000000000001
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,66.60000000000001,60.40000000000001,73.90000000000001,87.40000000000001,87.40000000000001,87.40000000000001,63.40000000000001,59,67.60000000000001,63.40000000000001,59,67.60000000000001,43,25.6,58.6
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,67.7,67.7,67.7,88.40000000000001,88.30000000000001,88.60000000000001,82,77.2,87,81.60000000000001,76.2,87,59,51.7,65.8
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,67.7,67.8,67.60000000000001,88.5,88.40000000000001,88.60000000000001,81.90000000000001,76.7,87.10000000000001,81.40000000000001,75.8,87.10000000000001,58.3,50.6,65.5
