id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,gdp,gdp_pc,sgdp_s1,sgdp_s2,sgdp_s3,sgdp_s4,sgdp_s5,sgdp_s6,sgdp_s7,sgdp_s8,sgdp_s9,sgdp_s10,sgdp_s11
3_19_344_0,2011,Total,3,India,19,West Bengal,344,Paschim Medinipur,2373,434,34.2,0,9.800000000000001,1.5,5.5,14.2,5.7,7.7,6.300000000000001,5.100000000000001,10.1
3_19_345_0,2011,Total,3,India,19,West Bengal,345,Purba Medinipur,3611,778,26.3,0,22,1.1,3.8,24.6,5.2,3.4,4.600000000000001,1.7,7.4
3_1_1_0,2011,Total,3,India,1,Jammu and Kashmir,1,Kupwara,,,,,,,,,,,,,
3_1_10_0,2011,Total,3,India,1,Jammu and Kashmir,10,Srinagar,,,,,,,,,,,,,
3_1_11_0,2011,Total,3,India,1,Jammu and Kashmir,11,Ganderbal,,,,,,,,,,,,,
3_1_12_0,2011,Total,3,India,1,Jammu and Kashmir,12,Pulwama,,,,,,,,,,,,,
3_1_13_0,2011,Total,3,India,1,Jammu and Kashmir,13,Shupiyan,,,,,,,,,,,,,
3_1_14_0,2011,Total,3,India,1,Jammu and Kashmir,14,Anantnag,,,,,,,,,,,,,
3_1_15_0,2011,Total,3,India,1,Jammu and Kashmir,15,Kulgam,,,,,,,,,,,,,
3_1_16_0,2011,Total,3,India,1,Jammu and Kashmir,16,Doda,,,,,,,,,,,,,
3_1_17_0,2011,Total,3,India,1,Jammu and Kashmir,17,Ramban,,,,,,,,,,,,,
3_1_18_0,2011,Total,3,India,1,Jammu and Kashmir,18,Kishtwar,,,,,,,,,,,,,
3_1_19_0,2011,Total,3,India,1,Jammu and Kashmir,19,Udhampur,,,,,,,,,,,,,
3_1_2_0,2011,Total,3,India,1,Jammu and Kashmir,2,Badgam,,,,,,,,,,,,,
3_1_20_0,2011,Total,3,India,1,Jammu and Kashmir,20,Reasi,,,,,,,,,,,,,
3_1_21_0,2011,Total,3,India,1,Jammu and Kashmir,21,Jammu,,,,,,,,,,,,,
3_1_22_0,2011,Total,3,India,1,Jammu and Kashmir,22,Samba,,,,,,,,,,,,,
3_1_3_1,2011,Total,3,India,1,India/China  2,3,Leh(Ladakh),,,,,,,,,,,,,
