id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,lp_inf_ser_t,lp_inf_ser_6,lp_inf_ser_7,lp_inf_ser_8,lp_inf_ser_9,lp_inf_ser_11,kl_inf_ser_t,kl_inf_ser_6,kl_inf_ser_7,kl_inf_ser_8,kl_inf_ser_9,kl_inf_ser_11
3_11_241_0,,Urban,3,India,11,Sikkim,241,North  District,,,,,,,,,,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,380.7000000000001,489.8,418.9,,199.6,90,8643.700000000001,8254.1,4325.400000000001,,14916.2,3804.8
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,473.3,644,408.6,,200.1,94.5,9750.4,7220.900000000001,4358.400000000001,,23364.3,3448
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,954.5,1254.4,128.6,,202.9,121.3,15505.5,3131.4,5249.6,,79128.3,1346.1
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,389.3,410.3,597.5,,15,61.5,3766.6,2998.3,5994.400000000001,,2989.5,421.6
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,494.3,614,594.7000000000001,,152.6,133.7,9921.700000000001,4464.2,6574.5,,33295.3,3508.4
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,689.9000000000001,895.2000000000001,535.7000000000001,,311.5,228.7,21388.5,6487.700000000001,19069.9,,68260.5,7568
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,335.3,450.5,478.5,,103.9,143.4,12295,4878.7,5388.200000000001,,29358.7,10724.1
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,544.7000000000001,705.5,470.5,,156.8,166.2,13134.8,6380.700000000001,5842.8,,39585.4,7937.3
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,737.9000000000001,881.1,429.3,,273.6,179.4,13910.5,7416.6,8170.5,,62190.9,6321.1
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,1520.9,1760.9,321.4,,,,2505.2,2753.3,1264.2,,,
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,2030.9,2205.3,390.6,,257.1,171.4,3982.5,4291.8,1457.6,,364.3,321.4
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,2169.9,2313.9,635.7000000000001,,257.1,171.4,4385,4667.5,2142.7,,364.3,321.4
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,354.5,362.5,,,,82.10000000000001,350,350,,,,
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,294.7,311.9,107.7,,,82.10000000000001,2592.5,2592.5,,,,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,196.7,214.9,107.7,,,,9075.1,9075.1,,,,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,472.7000000000001,465.8,696.4000000000001,,,1092.8,883.2000000000001,849,5410.3,,,3642.6
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,551.1,555.3000000000001,588.4,,,492.4,1317.9,1306.8,1269.9,,,1464.2
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,658.3000000000001,706.1,567.8000000000001,,,446.7000000000001,1929.6,2111.7,482.1,,,1381.3
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,487,501.2000000000001,369.6,,160.7,174.1,626.7000000000001,573.8000000000001,1205.3,,5892.400000000001,1441.2
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,487,501.2000000000001,369.6,,160.7,174.1,626.7000000000001,573.8000000000001,1205.3,,5892.400000000001,1441.2
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,691.1,749.1,249.7,,160.7,185.1,518.9,513.6,309,,5892.400000000001,562.6
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,691.1,749.1,249.7,,160.7,185.1,518.9,513.6,309,,5892.400000000001,562.6
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,968,1144.8,239.6,,,190.5,370.5,417.4,233.6,,,67.5
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,968,1144.8,239.6,,,190.5,370.5,417.4,233.6,,,67.5
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,274.9,266.7,913.6,,,183.2,871.8000000000001,841,1767.7,,,1109.8
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,444.7000000000001,493.6,201.6,,,162.9,1116.8,880.4000000000001,610.4,,,3328
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,627.9000000000001,798.4000000000001,56.8,,,156,1408,941.2000000000001,375,,,4080.5
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,618.9000000000001,695.2000000000001,213.2,,205.3,182.3,2139.4,2136.3,1656.3,,3234.6,2098.6
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,618.9000000000001,695.2000000000001,213.2,,205.3,182.3,2139.4,2136.3,1656.3,,3234.6,2098.6
