id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,65.40000000000001,,,89.10000000000001,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,65.60000000000001,,,79.60000000000001,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,66.3,60.6,13.4,56.40000000000001,57.3
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,54.1,,,87.10000000000001,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,55.6,,,84.90000000000001,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,63.8,59.1,46,73.90000000000001,64.2
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,47.40000000000001,,,89.30000000000001,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,53.1,,,83.2,
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,78.10000000000001,77.10000000000001,36.5,56.90000000000001,34.9
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,52.1,,,54.8,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,58,,,36.7,
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,63.3,50.90000000000001,8,20.7,21.8
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,43.2,,,85.5,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,45.5,,,83.80000000000001,
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,60.7,58.7,21.7,72.90000000000001,61.5
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,41.6,,,93.7,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,41.8,,,92.30000000000001,
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,43.1,,0,85.80000000000001,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,31.7,,,92.30000000000001,
