id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,26,,67.10000000000001,24.7,1.9,.4,6,66.5,2,1.7,.4,5.600000000000001
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,40.40000000000001,,67.10000000000001,24.7,1.9,.4,6,66.5,2,1.7,.4,5.600000000000001
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,85.5,69,,,,,,,,,,
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,63.7,,66,20.4,2.3,.1,11.2,65.7,2,2.1,.1,10.7
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,63.7,,66,20.4,2.3,.1,11.2,65.7,2,2.1,.1,10.7
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,77.2,,81.2,11.3,1.2,2.3,4,80.90000000000001,1.7,1.2,2.3,3.8
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,77.2,,81.2,11.3,1.2,2.3,4,80.90000000000001,1.7,1.2,2.3,3.8
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,86.40000000000001,,88.2,7.100000000000001,.7000000000000001,3.3,.7000000000000001,87.90000000000001,1.6,.7000000000000001,3.3,.6000000000000001
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,86.40000000000001,,88.2,7.100000000000001,.7000000000000001,3.3,.7000000000000001,87.90000000000001,1.6,.7000000000000001,3.3,.6000000000000001
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,36.3,,76.2,21.7,.6000000000000001,0,1.5,76,1.5,.5,0,1
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,44,,76.2,21.7,.6000000000000001,0,1.5,76,1.5,.5,0,1
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,82.7,,,,,,,,,,,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,49.90000000000001,,68.3,26.5,2,.6000000000000001,2.6,67.40000000000001,.8,1.8,.6000000000000001,2.6
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,49.90000000000001,,68.3,26.5,2,.6000000000000001,2.6,67.40000000000001,.8,1.8,.6000000000000001,2.6
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,59.5,,73.8,18.7,3,2.4,2.1,73,1.1,2.8,2.4,2.1
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,59.5,,73.8,18.7,3,2.4,2.1,73,1.1,2.8,2.4,2.1
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,88.60000000000001,78.10000000000001,82,7.2,4.4,5,1.4,81.2,1.5,4.4,5,1.4
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,88.60000000000001,78.10000000000001,82,7.2,4.4,5,1.4,81.2,1.5,4.4,5,1.4
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,57,,73,23.7,1.3,.1,1.8,72.60000000000001,1.2,.9,0,1.7
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,57,,73,23.7,1.3,.1,1.8,72.60000000000001,1.2,.9,0,1.7
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,65.2,,79,16.4,3.2,.3,1.2,78.30000000000001,1,2.9,.2,1.2
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,65.2,,79,16.4,3.2,.3,1.2,78.30000000000001,1,2.9,.2,1.2
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,82.40000000000001,73.5,85.2,8.700000000000001,5.100000000000001,.5,.6000000000000001,84.2,.8,5,.5,.6000000000000001
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,82.40000000000001,73.5,85.2,8.700000000000001,5.100000000000001,.5,.6000000000000001,84.2,.8,5,.5,.6000000000000001
