id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,asset_t,asset_slm,no_asset_t,no_asset_slm,hou_own,lan_own,lan_gini,lan_mld
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,3,,21.7,,81,80.80000000000001,52.6,1.053
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,4.9,,16.1,,63.8,64,60.90000000000001,2.207
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,4.9,,16.1,,63.8,64,60.90000000000001,2.207
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,8.700000000000001,11.9,4.600000000000001,4.9,7.100000000000001,8.5,83.90000000000001,5.64
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,8.700000000000001,11.9,4.600000000000001,4.9,7.100000000000001,8.5,83.90000000000001,5.64
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,.9,,43.7,,100,100,37.6,.245
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,2.3,,36.2,,100,100,37.6,.245
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,7.300000000000001,,8.5,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,.8,,28.3,,80.60000000000001,86.60000000000001,49.5,1.573
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,1.8,,26.4,,73,80.90000000000001,52.7,1.666
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,7.7,,15.2,,3.3,29.1,78.80000000000001,2.043
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,.3,,57.90000000000001,,100,100,28.5,.179
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,1.1,,48.7,,88,96,39.7,.879
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,4.100000000000001,,13.4,,28.6,76.3,89.90000000000001,3.025
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,3.1,,27.7,,92.2,98.7,34.7,.515
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,4.3,,23.2,,76.80000000000001,89.30000000000001,40.3,1.768
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,9.300000000000001,,5.5,,29.9,60.7,51.8,5.169000000000001
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,.5,,62.6,,72.40000000000001,100,52.7,1.458
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,.7000000000000001,,60.8,,72.40000000000001,100,52.7,1.458
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,5.9,,11.6,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,.9,,45.3,,98.30000000000001,100,18.1,.094
