id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,85.2,93.5,93.80000000000001,43.8,1.5,42.40000000000001
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,85.2,93.5,93.80000000000001,43.8,1.5,42.40000000000001
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,98,100.2,96.60000000000001,55.8,6.800000000000001,49
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,98,100.2,96.60000000000001,55.8,6.800000000000001,49
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,98,98.80000000000001,98.7,53.5,5.600000000000001,47.90000000000001
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,98,98.80000000000001,98.7,53.5,5.600000000000001,47.90000000000001
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,97.80000000000001,95,103.7,47.5,2.5,45.1
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,97.80000000000001,95,103.7,47.5,2.5,45.1
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,87.7,97.90000000000001,111.6,58.90000000000001,8.800000000000001,50
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,88.90000000000001,98,109.3,58.40000000000001,7.600000000000001,50.8
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,94.40000000000001,98.60000000000001,97.40000000000001,56.1,2.1,54
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,94.60000000000001,98.7,101,68.10000000000001,6,62
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,92.60000000000001,98.60000000000001,102.1,64.3,5.4,58.90000000000001
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,80.30000000000001,97.60000000000001,112.9,42.40000000000001,1.9,40.5
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,97.40000000000001,98.30000000000001,95.90000000000001,76.60000000000001,8.1,68.5
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,94.40000000000001,97.30000000000001,93.40000000000001,70.60000000000001,6.800000000000001,63.8
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,82.2,90.5,79,47.7,1.7,46
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,98,95.2,103.6,52.5,3.2,49.3
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,98.40000000000001,96.40000000000001,102.2,51.40000000000001,3,48.40000000000001
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,100.6,103.4,95.60000000000001,45.8,1.9,43.90000000000001
