id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,42.1,16.2,25.3,.5,1657,637,998,21.3,0,0,0,0,0,0
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,153,111,42,0,22.8,16.5,6.2,0,0,0,0,0,0,0
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,157,114,42.8,0,23.3,16.9,6.4,0,0,0,0,0,0,0
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,3.6,2.9,.8,0,1089,859,230,0,0,0,0,0,0,0
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,162,116,46.3,0,19.5,13.9,5.600000000000001,0,0,0,0,0,0,0
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,162,116,46.3,0,19.5,13.9,5.600000000000001,0,0,0,0,0,0,0
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,174,122,46.3,5.2,20.8,14.6,5.5,.6000000000000001,0,0,0,0,0,0
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,174,122,46.3,5.2,20.8,14.6,5.5,.6000000000000001,0,0,0,0,0,0
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,11.1,6,0,5.2,553,296,0,257,0,0,0,0,0,0
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,11.1,6,0,5.2,553,296,0,257,0,0,0,0,0,0
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,262,181,74.3,6.800000000000001,69.90000000000001,48.2,19.8,1.8,0,0,0,0,0,0
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,262,181,74.3,6.800000000000001,69.90000000000001,48.2,19.8,1.8,0,0,0,0,0,0
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,313,195,83.5,33.9,82.5,51.5,22,8.9,0,0,0,0,0,0
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,313,195,83.5,33.9,82.5,51.5,22,8.9,0,0,0,0,0,0
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,50.8,14.6,9.1,27.1,1148,330,206,612,0,0,0,0,0,0
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,50.8,14.6,9.1,27.1,1148,330,206,612,0,0,0,0,0,0
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,103,0,103,0,15.6,0,15.6,0,0,0,0,0,0,0
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,103,0,103,0,15.5,0,15.5,0,0,0,0,0,0,0
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,159,80.2,73.40000000000001,5.7,31.9,16,14.7,1.1,0,0,0,0,0,0
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,170,87.10000000000001,77.10000000000001,5.9,33.9,17.3,15.3,1.2,0,0,0,0,0,0
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,10.9,7,3.7,.2,481,308,163,9.4,0,0,0,0,0,0
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,38.7,38.7,0,0,19.5,19.5,0,0,0,0,0,0,0,0
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,42.6,42.6,0,0,21.1,21.1,0,0,0,0,0,0,0,0
