spatialId,finalId,spatialState,spatialDistrict,nss2001State,nss2001District,Note,distt_id55,NSS2000_state_id,NSS2000_dist_code
3_20_351_0,3_20_351_0,Jharkhand,Godda,Jharkhand,Godda,NA,NA,NA,NA
3_20_366_0,3_20_366_0,Jharkhand,Gumla,Jharkhand,Gumla,Simdega district split from Gumla,NA,NA,NA
3_20_360_0,3_20_360_0,Jharkhand,Hazaribagh,Jharkhand,Hazaribagh,Ramgarh district split from Hazaribagh,NA,NA,NA
3_20_348_0,3_20_348_0,Jharkhand,Kodarma,Jharkhand,Kodarma,NA,NA,NA,NA
3_20_359_0,3_20_359_0,Jharkhand,Latehar,NA,NA,Latehar district split from Palamu,NA,NA,NA
3_20_356_0,3_20_356_0,Jharkhand,Lohardaga,Jharkhand,Lohardaga,NA,NA,NA,NA
3_20_353_0,3_20_353_0,Jharkhand,Pakur,Jharkhand,Pakaur,NA,NA,NA,NA
3_20_368_0,3_20_368_0,Jharkhand,Pashchimi Singhbhum,Jharkhand,Pashchimi singhbhum,Seraikela district split from Pashchim Singhbhum,NA,NA,NA
3_20_357_0,3_20_357_0,Jharkhand,Purbi Singhbhum,Jharkhand,Purbi Singhbhum,NA,NA,NA,NA
3_20_364_0,3_20_364_0,Jharkhand,Ranchi,Jharkhand,Ranchi,Khunti district split from Ranchi;,NA,NA,NA
3_20_352_0,3_20_352_0,Jharkhand,Sahibganj,Jharkhand,Sahibganj,NA,NA,NA,NA
3_29_556_0,3_29_556_0,Karnataka,Bagalkot,Karnataka,Bagalkot,NA,NA,NA,NA
3_29_572_0,3_29_572_0,Karnataka,Bangalore,Karnataka,Bangalore,NA,NA,NA,NA
3_29_583_0,3_29_583_0,Karnataka,Bangalore Rural,Karnataka,Bangalore (Rural),Ramanagara district split from Bangalore Rural,1102,11.0,02
3_29_555_0,3_29_555_0,Karnataka,Belgaum,Karnataka,Belgaum,NA,1103,11.0,03
3_29_565_0,3_29_565_0,Karnataka,Bellary,Karnataka,Bellary,NA,1104,11.0,04
3_29_558_0,3_29_558_0,Karnataka,Bidar,Karnataka,Bidar,NA,1105,11.0,05
3_29_557_0,3_29_557_0,Karnataka,Bijapur,Karnataka,Bijapur,NA,1106,11.0,06
3_29_578_0,3_29_578_0,Karnataka,Chamarajanagar,Karnataka,Chamarajanagar,NA,NA,NA,NA
3_29_570_0,3_29_570_0,Karnataka,Chikmagalur,Karnataka,Chikmagalur,NA,1107,11.0,07
3_29_566_0,3_29_566_0,Karnataka,Chitradurga,Karnataka,Chitradurga,NA,1108,11.0,08
3_29_575_0,3_29_575_0,Karnataka,Dakshina Kannada,Karnataka,Dakshina Kannada,NA,NA,NA,NA
3_29_567_0,3_29_567_0,Karnataka,Davanagere,Karnataka,Davanagere,NA,NA,NA,NA
3_29_562_0,3_29_562_0,Karnataka,Dharwad,Karnataka,Dharwad,NA,1110,11.0,10
3_29_561_0,3_29_561_0,Karnataka,Gadag,Karnataka,Gadag,NA,NA,NA,NA
3_29_579_0,3_29_579_0,Karnataka,Gulbarga,Karnataka,Gulbarga,Yadgir district split from Gulbarga,1111,11.0,11
3_29_574_0,3_29_574_0,Karnataka,Hassan,Karnataka,Hassan,NA,1112,11.0,12
3_29_564_0,3_29_564_0,Karnataka,Haveri,Karnataka,Haveri,NA,NA,NA,NA
3_29_576_0,3_29_576_0,Karnataka,Kodagu,Karnataka,Kodagu,NA,1113,11.0,13
3_29_581_0,3_29_581_0,Karnataka,Kolar,Karnataka,Kolar,Chikkaballapur district split from Kolar,1114,11.0,14
3_29_560_0,3_29_560_0,Karnataka,Koppal,Karnataka,Koppal,NA,NA,NA,NA
3_29_573_0,3_29_573_0,Karnataka,Mandya,Karnataka,Mandya,NA,1115,11.0,15
3_29_577_0,3_29_577_0,Karnataka,Mysore,Karnataka,Mysore,NA,1116,11.0,16
3_29_559_0,3_29_559_0,Karnataka,Raichur,Karnataka,Raichur,NA,1117,11.0,17
3_29_568_0,3_29_568_0,Karnataka,Shimoga,Karnataka,Shimoga,NA,1118,11.0,18
3_29_571_0,3_29_571_0,Karnataka,Tumkur,Karnataka,Tumkur,NA,1119,11.0,19
3_29_569_0,3_29_569_0,Karnataka,Udupi,Karnataka,Udupi,NA,NA,NA,NA
3_29_563_0,3_29_563_0,Karnataka,Uttara Kannada,Karnataka,Uttara Kannada,NA,NA,NA,NA
3_32_598_0,3_32_598_0,Kerala,Alappuzha,Kerala,Alappuzha,NA,1211,12.0,11
3_32_595_0,3_32_595_0,Kerala,Ernakulam,Kerala,Ernakulam,NA,1208,12.0,08
3_32_596_0,3_32_596_0,Kerala,Idukki,Kerala,Idukki,NA,1209,12.0,09
3_32_589_0,3_32_589_0,Kerala,Kannur,Kerala,Kannur,NA,1202,12.0,02
3_32_588_0,3_32_588_0,Kerala,Kasaragod,Kerala,Kasaragod,NA,NA,NA,NA
3_32_600_0,3_32_600_0,Kerala,Kollam,Kerala,Kollam,NA,1213,12.0,13
