1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
219,MAH,Inland East,Buldana,14,5,22,
220,MAH,Inland East,Akola,14,5,23,
221,MAH,Inland East,Amravati,14,5,24,
222,MAH,Inland East,Yavatmal,14,5,25,
223,MAH,Inland East,Wardha,14,5,26,
224,MAH,Inland East,Nagpur,14,5,27,
225,MAH,Inland North,Nasik,14,3,6,
226,MAH,Inland North,Dhule,14,3,7,
227,MAH,Inland North,Jalgaon,14,3,8,
228,MAH,Inland West,Ahmadnagar,14,2,9,
229,MAH,Inland West,Pune,14,2,10,
230,MAH,Inland West,Satara,14,2,11,
231,MAH,Inland West,Sangli,14,2,12,
232,MAH,Inland West,Solapur,14,2,13,
233,MAH,Inland West,Kolhapur,14,2,14,
234,MAN,Hills,Senapati,15,2,1,
235,MAN,Hills,Tamenglong,15,2,2,
236,MAN,Hills,Churachandpur,15,2,3,
237,MAN,Hills,Chandel,15,2,4,
238,MAN,Hills,Ukhrul,15,2,8,
239,MAN,Plains,Thoubal,15,1,5,
240,MAN,Plains,Bishnupur,15,1,6,
241,MAN,Plains,Imphal,15,1,7,
242,MEG,MEG,Jaintia Hills,16,1,1,
243,MEG,MEG,East Khasi Hills,16,1,2,
244,MEG,MEG,West Khasi Hills,16,1,3,
245,MEG,MEG,East Garo Hills,16,1,4,
246,MEG,MEG,West Garo Hills,16,1,5,
247,MEG,MEG,Ri-bhoi,16,1,6,
248,MEG,MEG,Bhagmara,16,1,7,
249,MIZ,MIZ,Aizwal,17,1,1,
,A,B,C,D,E,F,G
1,NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode","NSSTehsil"
251,MIZ,MIZ,Chhimtuipui,17,1,3,
252,MPR,Central,Sagar,13,3,10,
253,MPR,Central,Damoh,13,3,11,
254,MPR,Central,Vidisha,13,3,27,
255,MPR,Central,Bhopal,13,3,28,
256,MPR,Central,Sehore,13,3,29,
257,MPR,Central,Raisen,13,3,30,
258,MPR,Chattisgarh,Surguja,13,1,39,
259,MPR,Chattisgarh,Bilaspur,13,1,40,
260,MPR,Chattisgarh,Raigarh,13,1,41,
261,MPR,Chattisgarh,Raj Nandgaon,13,1,42,
262,MPR,Chattisgarh,Durg,13,1,43,
263,MPR,Chattisgarh,Raipur,13,1,44,
264,MPR,Chattisgarh,Bastar,13,1,45,
265,MPR,Malwa,Mandsaur,13,4,16,
266,MPR,Malwa,Ratlam,13,4,17,
267,MPR,Malwa,Ujjain,13,4,18,
268,MPR,Malwa,Shajapur,13,4,19,
269,MPR,Malwa,Dewas,13,4,20,
270,MPR,Malwa,Jhabua,13,4,21,
271,MPR,Malwa,Dhar,13,4,22,
272,MPR,Malwa,Indore,13,4,23,
273,MPR,Malwa,Rajgarh,13,4,26,
274,MPR,Northern,Morena,13,7,1,
275,MPR,Northern,Bhind,13,7,2,
276,MPR,Northern,Gwalior,13,7,3,
277,MPR,Northern,Datia,13,7,4,
278,MPR,Northern,Shivpuri,13,7,5,
279,MPR,Northern,Guna,13,7,6,
280,MPR,South,Jabalpur,13,5,33,
