spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_1_1_0,Jammu and Kashmir,Kupwara,Jammu  & Kashmir,Kupwara,Jammu  & Kashmir,Kupwara,3_1_1_0,NA
3_1_3_0,Jammu and Kashmir,Leh(Ladakh),Jammu  & Kashmir,Leh (Ladakh),Jammu  & Kashmir,Leh (Ladakh),3_1_3_0,NA
3_1_12_0,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,3_1_12_0,Shupiyan district split from Pulwama
3_1_5_0,Jammu and Kashmir,Punch,Jammu  & Kashmir,Punch,Jammu  & Kashmir,Punch,3_1_5_0,NA
3_1_6_0,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajauri,Jammu  & Kashmir,Rajauri,3_1_6_0,NA
3_1_17_0,Jammu and Kashmir,Ramban,NA,NA,NA,NA,3_1_17_0,NA
3_1_20_0,Jammu and Kashmir,Reasi,NA,NA,NA,NA,3_1_20_0,NA
3_1_22_0,Jammu and Kashmir,Samba,NA,NA,NA,NA,3_1_21_0,Samba district formed from parts of Jammu and Kathua
3_1_13_0,Jammu and Kashmir,Shupiyan,NA,NA,NA,NA,3_1_12_0,Shupiyan district split from Pulwama
3_1_10_0,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,3_1_10_0,Ganderbal district split from Srinagar
