spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_20_350_0,Jharkhand,Deoghar,Jharkhand,Deoghar,3_20_350_0,,NA
3_20_354_0,Jharkhand,Dhanbad,Jharkhand,Dhanbad,3_20_354_0,,NA
3_20_362_0,Jharkhand,Dumka,Jharkhand,Dumka,3_20_362_0,,amtara district split from Dumka
3_20_346_0,Jharkhand,Garhwa,Jharkhand,Garhwa,3_20_346_0,Palamu split 1991,NA
3_20_349_0,Jharkhand,Giridih,Jharkhand,Giridih,3_20_349_0,,NA
3_20_351_0,Jharkhand,Godda,Jharkhand,Godda,3_20_351_0,,NA
3_20_366_0,Jharkhand,Gumla,Jharkhand,Gumla,3_20_366_0,,Simdega district split from Gumla
3_20_360_0,Jharkhand,Hazaribagh,Jharkhand,Hazaribag,NA,,NA
3_20_363_0,Jharkhand,Jamtara,Jharkhand,Jamtara,3_20_362_0,Dumka split 2001,amtara district split from Dumka
3_20_348_0,Jharkhand,Kodarma,Jharkhand,Kodarma,3_20_348_0,Hazaribagh split 1994,NA
3_20_359_0,Jharkhand,Latehar,Jharkhand,Latehar,3_20_359_0,Palamu split 2001,NA
3_20_356_0,Jharkhand,Lohardaga,Jharkhand,Lohardaga,3_20_356_0,,NA
3_20_353_0,Jharkhand,Pakur,Jharkhand,Pakaur,3_20_353_0,Sahibganj split 1994,NA
3_20_358_0,Jharkhand,Palamu,Jharkhand,Palamu,3_20_358_0,,NA
3_20_364_0,Jharkhand,Ranchi,Jharkhand,Ranchi,3_20_364_0,,NA
3_20_352_0,Jharkhand,Sahibganj,Jharkhand,Sahibganj,3_20_352_0,,NA
3_20_369_0,Jharkhand,Saraikela-Kharsawan,Jharkhand,Saraikela,NA,West Singhbhum split 2001,NA
3_20_367_0,Jharkhand,Simdega,Jharkhand,Simdega,3_20_366_0,Gumla split2001,Simdega district split from Gumla
3_20_357_0,Jharkhand,Purbi Singhbhum,Jharkhand,Singhbhum (E),NA,,NA
3_20_368_0,Jharkhand,Pashchimi Singhbhum,Jharkhand,Singhbhum(W),NA,,NA
3_29_556_0,Karnataka,Bagalkot,Karnataka,Bagalkot,3_29_556_0,Bijapur split 1997,NA
3_29_572_0,Karnataka,Bangalore,Karnataka,Bangalore,3_29_572_0,,NA
3_29_583_0,Karnataka,Bangalore Rural,Karnataka,Bangalore (Rural),3_29_583_0,Bangalore split 1986,NA
3_29_555_0,Karnataka,Belgaum,Karnataka,Belgaum,3_29_555_0,,NA
3_29_565_0,Karnataka,Bellary,Karnataka,Bellary,3_29_565_0,,NA
3_29_558_0,Karnataka,Bidar,Karnataka,Bidar,3_29_558_0,,NA
3_29_557_0,Karnataka,Bijapur,Karnataka,Bijapur,3_29_557_0,,NA
3_29_578_0,Karnataka,Chamarajanagar,Karnataka,Chamarajanagar,3_29_578_0,Mysore split 1998,NA
