id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_22_402_0,2001,Total,3,India,22,Chhattisgarh,402,Jashpur,8.300000000000001,.19,108,172
3_22_403_0,2001,Total,3,India,22,Chhattisgarh,403,Raigarh,13.2,.28,106,217
3_22_404_0,2001,Total,3,India,22,Chhattisgarh,404,Korba,21,.27,108,283
3_22_405_0,2001,Total,3,India,22,Chhattisgarh,405,Janjgir - Champa,9.4,.34,108,262
3_22_406_0,2001,Total,3,India,22,Chhattisgarh,406,Bilaspur,19.3,.28,107,199
3_22_407_0,2001,Total,3,India,22,Chhattisgarh,407,Kabeerdham,28,.21,107,163
3_22_408_0,2001,Total,3,India,22,Chhattisgarh,408,Rajnandgaon,27.5,.24,110,162
3_22_409_0,2001,Total,3,India,22,Chhattisgarh,409,Durg,10.9,.29,108,189
3_22_410_0,2001,Total,3,India,22,Chhattisgarh,410,Raipur,15.4,.3,108,190
3_22_411_0,2001,Total,3,India,22,Chhattisgarh,411,Mahasamund,12.6,.3,108,178
3_22_412_0,2001,Total,3,India,22,Chhattisgarh,412,Dhamtari,19.7,.27,111,145
3_22_413_0,2001,Total,3,India,22,Chhattisgarh,413,Uttar Bastar Kanker,28.4,.22,113,138
3_22_414_0,2001,Total,3,India,22,Chhattisgarh,414,Bastar,14.2,.21,114,121
3_22_415_0,2001,Total,3,India,22,Chhattisgarh,415,Narayanpur,29.1,.19,115,132
3_22_416_0,2001,Total,3,India,22,Chhattisgarh,416,Dakshin Bastar Dantewada,31,.21,112,127
3_22_417_0,2001,Total,3,India,22,Chhattisgarh,417,Bijapur,35.5,.22,112,141
3_23_418_0,2001,Total,3,India,23,Madhya Pradesh,418,Sheopur,13.1,.29,99.2,151
3_23_419_0,2001,Total,3,India,23,Madhya Pradesh,419,Morena,4.5,.39,98.60000000000001,168
3_23_420_0,2001,Total,3,India,23,Madhya Pradesh,420,Bhind,4.9,.44,98.5,183
3_23_421_0,2001,Total,3,India,23,Madhya Pradesh,421,Gwalior,12.3,.35,98.2,161
3_23_422_0,2001,Total,3,India,23,Madhya Pradesh,422,Datia,9.800000000000001,.39,96.80000000000001,161
3_23_423_0,2001,Total,3,India,23,Madhya Pradesh,423,Shivpuri,14,.25,98.40000000000001,143
3_23_424_0,2001,Total,3,India,23,Madhya Pradesh,424,Tikamgarh,26.1,.29,97.7,150
3_23_425_0,2001,Total,3,India,23,Madhya Pradesh,425,Chhatarpur,26.3,.29,98.80000000000001,149
3_23_426_0,2001,Total,3,India,23,Madhya Pradesh,426,Panna,26.6,.28,101,148
3_23_427_0,2001,Total,3,India,23,Madhya Pradesh,427,Sagar,10.3,.3,98.40000000000001,139
3_23_428_0,2001,Total,3,India,23,Madhya Pradesh,428,Damoh,20.8,.26,100,141
3_23_429_0,2001,Total,3,India,23,Madhya Pradesh,429,Satna,20.3,.31,101,181
3_23_430_0,2001,Total,3,India,23,Madhya Pradesh,430,Rewa,16.4,.35,103,188
3_23_431_0,2001,Total,3,India,23,Madhya Pradesh,431,Umaria,22.4,.26,104,163
3_23_432_0,2001,Total,3,India,23,Madhya Pradesh,432,Neemuch,5.4,.25,95.5,183
3_23_433_0,2001,Total,3,India,23,Madhya Pradesh,433,Mandsaur,2.6,.36,95.2,158
3_23_434_0,2001,Total,3,India,23,Madhya Pradesh,434,Ratlam,1.5,.35,96.5,153
3_23_435_0,2001,Total,3,India,23,Madhya Pradesh,435,Ujjain,4.3,.37,97.2,155
3_23_436_0,2001,Total,3,India,23,Madhya Pradesh,436,Shajapur,5.4,.35,97,146
3_23_437_0,2001,Total,3,India,23,Madhya Pradesh,437,Dewas,11.1,.31,100,149
3_23_438_0,2001,Total,3,India,23,Madhya Pradesh,438,Dhar,1.6,.31,99.30000000000001,159
3_23_439_0,2001,Total,3,India,23,Madhya Pradesh,439,Indore,2,.35,100,167
3_23_440_0,2001,Total,3,India,23,Madhya Pradesh,440,Khargone (West Nimar),1.3,.32,100,154
3_23_441_0,2001,Total,3,India,23,Madhya Pradesh,441,Barwani,1.4,.3,98.80000000000001,148
3_23_442_0,2001,Total,3,India,23,Madhya Pradesh,442,Rajgarh,4.3,.34,97.2,142
3_23_443_0,2001,Total,3,India,23,Madhya Pradesh,443,Vidisha,3.6,.33,97.2,141
3_23_444_0,2001,Total,3,India,23,Madhya Pradesh,444,Bhopal,6.100000000000001,.33,97.40000000000001,147
3_23_445_0,2001,Total,3,India,23,Madhya Pradesh,445,Sehore,10.9,.3,99.30000000000001,148
3_23_446_0,2001,Total,3,India,23,Madhya Pradesh,446,Raisen,9.4,.3,98.2,145
3_23_447_0,2001,Total,3,India,23,Madhya Pradesh,447,Betul,15.2,.21,105,154
3_23_448_0,2001,Total,3,India,23,Madhya Pradesh,448,Harda,14.5,.28,101,141
3_23_449_0,2001,Total,3,India,23,Madhya Pradesh,449,Hoshangabad,14.5,.29,102,149
3_23_450_0,2001,Total,3,India,23,Madhya Pradesh,450,Katni,18.8,.27,104,158
3_23_451_0,2001,Total,3,India,23,Madhya Pradesh,451,Jabalpur,9.200000000000001,.31,102,145
3_23_452_0,2001,Total,3,India,23,Madhya Pradesh,452,Narsimhapur,6.600000000000001,.31,102,145
3_23_453_0,2001,Total,3,India,23,Madhya Pradesh,453,Dindori,6.5,.2,106,150
3_23_454_0,2001,Total,3,India,23,Madhya Pradesh,454,Mandla,8.800000000000001,.23,109,139
3_23_455_0,2001,Total,3,India,23,Madhya Pradesh,455,Chhindwara,13.5,.2,104,148
3_23_456_0,2001,Total,3,India,23,Madhya Pradesh,456,Seoni,6.800000000000001,.24,105,140
3_23_457_0,2001,Total,3,India,23,Madhya Pradesh,457,Balaghat,28.4,.22,110,147
3_23_458_0,2001,Total,3,India,23,Madhya Pradesh,458,Guna,5,.29,97,143
