id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,8
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,11
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,18.9
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,6.2
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,6.2
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,6
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,6.5
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,9.1
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,15.5
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,20
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,39.5
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,24.8
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,34.5
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,42.3
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,23.9
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,46.2
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,52.90000000000001
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,20.4
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,26.8
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,36.8
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,22.6
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,30.4
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,40.1
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,10.1
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,23
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,39.7
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,6.800000000000001
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,11.2
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,33.8
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,4.5
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,13.3
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,33.8
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,21.6
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,30.4
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,52.7
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,22.5
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,25.3
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,55.6
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,16.4
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,18.4
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,44.7
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,18.1
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,21.6
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,47.40000000000001
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,13.9
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,18.1
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,55.3
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,11.5
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,16
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,48.8
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,11.4
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,15
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,48.3
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,8.4
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,11.7
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,35.3
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,14
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,14.6
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,21.8
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,16
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,33.2
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,53.1
