id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,6.7,4.100000000000001,53.90000000000001
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,6.600000000000001,4,52.1
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,5.600000000000001,2.9,34.1
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,5.600000000000001,2.5,24.3
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,5.300000000000001,2.5,24.7
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,4.800000000000001,2.5,25.2
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,5.7,2.4,22.4
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,5.4,2.4,22.5
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,4.7,2.4,22.7
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,6.600000000000001,3.1,33.2
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,6.600000000000001,3.1,33.2
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,,,
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,6.4,3,34.4
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,6.4,3,34.4
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,,,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,5.9,3.5,44.3
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,5.9,3.5,44.3
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,,,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,5.800000000000001,2.4,20.6
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,5.800000000000001,2.3,18.3
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,5.800000000000001,2.2,14.1
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,5.4,2.6,24.2
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,5.4,2.5,22.2
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,5.5,2.3,18.4
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,5.600000000000001,2.3,18.2
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,5.600000000000001,2.3,17.4
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,5.600000000000001,2.2,16.8
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,5.600000000000001,2.5,22.2
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,5.600000000000001,2.5,22
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,5.7,2.4,21.5
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,5.9,2.8,29.4
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,5.9,2.8,29.4
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,,,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,5.600000000000001,3.3,41.2
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,5.5,3.3,41.2
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,5,3.2,41.5
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,5.4,3.6,52
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,5.300000000000001,3.4,47.2
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,4.9,2.5,26.6
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,5.100000000000001,3.3,44.7
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,5.100000000000001,3.1,38.90000000000001
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,5.100000000000001,2.9,34.3
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,5.4,3,36.9
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,5.2,2.6,26.8
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,5.100000000000001,2.4,23.7
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,5.5,3.6,53.3
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,5.4,3.4,46.90000000000001
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,5.2,3,37
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,5.600000000000001,3.6,51.8
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,5.4,3.3,45
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,5.300000000000001,2.9,36.3
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,5.5,3.3,44.2
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,5.300000000000001,2.9,35.2
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,5,2.4,23.6
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,5.7,3.6,48.90000000000001
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,5.600000000000001,3.4,44.5
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,5.7,2.5,26.3
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,5.7,3.8,55.40000000000001
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,5.7,3.4,46.6
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,5.7,2.5,26.3
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,5,4.100000000000001,62.2
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,4.800000000000001,3.8,56.90000000000001
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,4.5,3.3,43.5
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,4.800000000000001,4.2,64.3
