distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
825,3_8_123_0,3_8_123_0,Rajsamand,Rajasthan,Rajsamand,Rajasthan,Rajsamand,Rajasthan,Rajsamand,NA,Rajasthan,Rajsamand,73.89960245,25.23984676,6.383357884937954,62.92560366120595,158.08869844127824,177.110341006852,not nodal
826,3_8_130_0,3_8_125_0,Udaipur,Rajasthan,Udaipur,Rajasthan,Udaipur,Rajasthan,Udaipur,"Pratapgarh formed from parts of Banswara, Chittorgarh, and Udaipur",Rajasthan,Udaipur,73.70114088,24.430466,3.264930059977795,19.906873119249372,142.95911251687602,103.90493643746197,not nodal
829,3_8_126_0,3_8_125_0,Chittaurgarh,Rajasthan,Chittaurgarh,Rajasthan,Chittaurgarh,Rajasthan,Chittaurgarh,"Pratapgarh formed from parts of Banswara, Chittorgarh, and Udaipur",Rajasthan,Chittaurgarh,74.77590791,24.82244166,92.74655157019957,12.160494724861403,58.54103243388373,98.04108764945809,not nodal
830,3_8_127_0,3_8_127_0,Kota,Rajasthan,Kota,Rajasthan,Kota,Rajasthan,Kota,NA,Rajasthan,Kota,76.10290805,25.10225084,194.91065592433537,15.22723268377239,53.41487306447077,71.5251626962105,not nodal
831,3_8_128_0,3_8_128_0,Baran,Rajasthan,Baran,Rajasthan,Baran,Rajasthan,Baran,NA,Rajasthan,Baran,76.75043561,24.99829142,232.4674232150154,42.92906060622904,118.32185449807257,34.66701014189969,not nodal
832,3_8_129_0,3_8_129_0,Jhalawar,Rajasthan,Jhalawar,Rajasthan,Jhalawar,Rajasthan,Jhalawar,NA,Rajasthan,Jhalawar,76.19481947,24.34215456,245.8947227735021,96.8874641376079,95.18360942018589,9.325413849545377,not nodal
901,3_9_132_0,3_9_132_0,Saharanpur,Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur,Uttar Pradesh,Saharanpur,NA,Uttar Pradesh,Saharanpur,77.54968841,29.94419652,146.3788788246515,59.56494282155564,152.13530048345345,99.55187295471626,not nodal
902,3_9_133_0,3_9_133_0,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,NA,Uttar Pradesh,Muzaffarnagar,77.58624109,29.44306449,93.84487656385771,57.604041702024325,99.74814751740928,76.4260320128472,not nodal
903,3_9_134_0,3_9_134_0,Bijnor,Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor,Uttar Pradesh,Bijnor,NA,Uttar Pradesh,Bijnor,78.38163908,29.37845364,137.5405651014185,130.09661408336163,129.86428069371794,141.2011394752124,not nodal
904,3_9_135_0,3_9_135_0,Moradabad,Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad,Uttar Pradesh,Moradabad,NA,Uttar Pradesh,Moradabad,78.71498018,28.76112876,137.6981193052812,144.11169470964302,85.74215750214609,138.96611288625445,not nodal
