NSS State,"NSSSub region",NSS District,"NSSStatecode","NSSSub_regcode","NSS_Distcode"
MPR,Malwa,Jhabua,13,4,21
MPR,Malwa,Dhar,13,4,22
MPR,Malwa,Indore,13,4,23
MPR,Malwa,Rajgarh,13,4,26
MPR,Northern,Morena,13,7,1
MPR,Northern,Bhind,13,7,2
MPR,Northern,Gwalior,13,7,3
MPR,Northern,Datia,13,7,4
MPR,Northern,Shivpuri,13,7,5
MPR,Northern,Guna,13,7,6
MPR,South,Jabalpur,13,5,33
MPR,South,Narsimhapur,13,5,34
MPR,South,Chhindwara,13,5,36
MPR,South,Seoni,13,5,37
MPR,South,Balaghat,13,5,38
MPR,South West,Khargone (W. Nimar,13,6,24
MPR,South West,Khandwa (E. Nimar),13,6,25
MPR,South West,Betul,13,6,31
MPR,South West,Hoshangabad,13,6,32
MPR,Vindhya,Tikamgarh,13,2,7
MPR,Vindhya,Chhatarpur,13,2,8
MPR,Vindhya,Panna,13,2,9
MPR,Vindhya,Satna,13,2,12
MPR,Vindhya,Rewa,13,2,13
MPR,Vindhya,Shadol,13,2,14
MPR,Vindhya,Sidhi,13,2,15
NAG,NAG,Kohima,18,1,1
NAG,NAG,Phek,18,1,2
NAG,NAG,Zunhehoto,18,1,3
NAG,NAG,Wokha,18,1,4
NAG,NAG,Mukokchung,18,1,5
NAG,NAG,Tuensang,18,1,6
NAG,NAG,Mon,18,1,7
ORI,Coastal,Baleshwar,19,1,5
ORI,Coastal,Cuttack,19,1,6
ORI,Coastal,Ganjam,19,1,12
ORI,Coastal,Puri,19,1,13
ORI,Coastal,Bhadrak,19,1,14
ORI,Coastal,Jagatsinghpura,19,1,15
ORI,Coastal,Jajpur,19,1,16
ORI,Coastal,Kendrapara,19,1,17
ORI,Coastal,Nayagarh,19,1,18
ORI,Coastal,Khurda,19,1,19
MPR,South,Chhindwara,13,5,36
MPR,South,Seoni,13,5,37
MPR,South,Balaghat,13,5,38
MPR,South West,Khargone (W. Nimar,13,6,24
MPR,South West,Khandwa (E. Nimar),13,6,25
MPR,South West,Betul,13,6,31
MPR,South West,Hoshangabad,13,6,32
MPR,Vindhya,Tikamgarh,13,2,7
MPR,Vindhya,Chhatarpur,13,2,8
MPR,Vindhya,Panna,13,2,9
MPR,Vindhya,Satna,13,2,12
MPR,Vindhya,Rewa,13,2,13
MPR,Vindhya,Shadol,13,2,14
MPR,Vindhya,Sidhi,13,2,15
NAG,NAG,Kohima,18,1,1
NAG,NAG,Phek,18,1,2
NAG,NAG,Zunhehoto,18,1,3
NAG,NAG,Wokha,18,1,4
NAG,NAG,Mukokchung,18,1,5
NAG,NAG,Tuensang,18,1,6
NAG,NAG,Mon,18,1,7
ORI,Coastal,Baleshwar,19,1,5
ORI,Coastal,Cuttack,19,1,6
ORI,Coastal,Ganjam,19,1,12
ORI,Coastal,Puri,19,1,13
ORI,Coastal,Bhadrak,19,1,14
ORI,Coastal,Jagatsinghpura,19,1,15
ORI,Coastal,Jajpur,19,1,16
ORI,Coastal,Kendrapara,19,1,17
ORI,Coastal,Nayagarh,19,1,18
ORI,Coastal,Khurda,19,1,19
ORI,Northern,Sambalpur,19,3,1
ORI,Northern,Sundargarh,19,3,2
ORI,Northern,Keonjhar,19,3,3
ORI,Northern,Mayurbhanj,19,3,4
ORI,Northern,Dhenkanal,19,3,7
ORI,Northern,Bolangir,19,3,9
ORI,Northern,Jharsuguda,19,3,26
ORI,Northern,Deogarh,19,3,27
ORI,Northern,Sonepur,19,3,29
ORI,Northern,Angul,19,3,30
ORI,Northern,Baragarh,19,3,28
ORI,Southern,Phulbani,19,2,8
ORI,Southern,Kalahandi,19,2,10
ORI,Southern,Koraput,19,2,11
ORI,Southern,Boudh,19,2,21
ORI,Southern,Nuapara,19,2,22
ORI,Southern,Malkangiri,19,2,23
ORI,Southern,Nowarangpur,19,2,24
ORI,Southern,Rayagarh,19,2,25
PON,PON,Pondicherry,33,1,1
PON,PON,Karaikal,33,1,2
PON,PON,Mahe,33,1,3
PON,PON,Yanam,33,1,4
PUN,Northern,Gurdaspur,20,1,1
PUN,Northern,Amritsar,20,1,2
PUN,Northern,Ludhiana,20,1,4
PUN,Northern,Jalandhar,20,1,5
PUN,Northern,Kapurthala,20,1,6
PUN,Northern,Hoshiarpur,20,1,7
PUN,Northern,Rupnagar  (Ropar),20,1,8
PUN,Southern,Firozpur,20,2,3
ORI,Northern,Sambalpur,19,3,1
ORI,Northern,Sundargarh,19,3,2
ORI,Northern,Keonjhar,19,3,3
ORI,Northern,Mayurbhanj,19,3,4
ORI,Northern,Dhenkanal,19,3,7
ORI,Northern,Bolangir,19,3,9
ORI,Northern,Jharsuguda,19,3,26
ORI,Northern,Deogarh,19,3,27
ORI,Northern,Sonepur,19,3,29
ORI,Northern,Angul,19,3,30
ORI,Northern,Baragarh,19,3,28
ORI,Southern,Phulbani,19,2,8
ORI,Southern,Kalahandi,19,2,10
ORI,Southern,Koraput,19,2,11
ORI,Southern,Boudh,19,2,21
ORI,Southern,Nuapara,19,2,22
ORI,Southern,Malkangiri,19,2,23
ORI,Southern,Nowarangpur,19,2,24
ORI,Southern,Rayagarh,19,2,25
PON,PON,Pondicherry,33,1,1
PON,PON,Karaikal,33,1,2
PON,PON,Mahe,33,1,3
PON,PON,Yanam,33,1,4
PUN,Northern,Gurdaspur,20,1,1
PUN,Northern,Amritsar,20,1,2
PUN,Northern,Ludhiana,20,1,4
PUN,Northern,Jalandhar,20,1,5
PUN,Northern,Kapurthala,20,1,6
PUN,Northern,Hoshiarpur,20,1,7
PUN,Northern,Rupnagar  (Ropar),20,1,8
PUN,Southern,Firozpur,20,2,3
PUN,Southern,Sangrur,20,2,10
